IPC,L1I TOTAL_MPKI,L1D TOTAL_MPKI,L2C TOTAL_MPKI,LLC TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,,File
0.455178,25.5228,12.1083,18.7788,1.98167,3.85073,11.9066,1.65506,,srv_3.txt
0.723181,3.21889,2.51692,3.67955,2.28289,0.53748,9.03222,0.432645,,srv_30.txt
0.721993,3.19185,2.42065,3.5882,2.31846,0.53352,9.04463,0.433065,,srv_31.txt
0.502402,77.0508,8.36862,5.17715,0.57617,12.4323,10.0749,0.112175,,srv_32.txt
0.534978,45.5907,33.8038,38.224,33.3493,7.71449,7.58226,0.36785,,srv_33.txt
0.535174,45.6485,33.7413,37.9732,33.7357,7.71077,7.54882,0.381235,,srv_34.txt
0.528373,45.5273,33.7988,38.1429,33.6137,7.69156,7.65549,0.39089,,srv_35.txt
0.53367,45.295,33.9481,38.2312,33.795,7.67502,7.56898,0.399875,,srv_36.txt
0.527182,45.3811,33.8337,38.2237,33.8573,7.6628,7.66949,0.407575,,srv_37.txt
0.532807,45.0051,33.8944,38.065,32.5341,7.62068,7.45303,0.369845,,srv_38.txt
0.536742,45.525,33.7542,38.1495,33.4663,7.70153,7.58523,0.390375,,srv_39.txt
0.46207,25.4865,12.3277,18.9764,2.06306,3.97637,12.9487,1.5879,,srv_4.txt
0.677291,6.34211,11.8654,9.87016,8.24033,1.32745,1.57254,0.238815,,srv_40.txt
0.433292,23.6949,11.7874,15.618,2.58956,4.43053,4.91539,0.50559,,srv_41.txt
0.329103,42.2919,22.5934,21.4452,1.37832,8.25389,9.11668,0.59393,,srv_42.txt
0.331897,42.1922,22.4411,19.8191,1.29248,8.228,9.05816,0.591815,,srv_43.txt
0.259429,61.6363,27.8472,18.632,3.65878,12.8551,11.4534,0.506145,,srv_44.txt
0.251221,65.7731,28.5179,17.996,2.71184,13.7391,12.2876,0.540535,,srv_45.txt
0.429942,24.952,12.9931,12.7604,2.9442,6.58416,6.18596,0.260645,,srv_46.txt
0.425855,25.6586,13.0308,12.3817,2.82992,6.7525,6.30238,0.28672,,srv_47.txt
0.438005,21.4025,11.9312,14.4742,4.19427,5.24485,5.17627,0.39209,,srv_48.txt
0.44389,21.3975,11.1129,12.9933,3.52379,5.20544,5.28076,0.439465,,srv_49.txt
0.459989,25.7573,12.291,18.9902,2.00291,4.03885,13.0695,1.59627,,srv_5.txt
0.400887,25.5391,13.2416,18.4601,3.46028,4.79754,5.02369,0.43147,,srv_50.txt
0.415578,23.7205,12.0976,16.3998,3.04445,4.45493,5.23719,0.422285,,srv_51.txt
0.297539,42.4987,20.3921,25.6572,3.05747,8.20544,8.4467,0.728225,,srv_52.txt
0.346654,32.1157,14.27,18.1047,1.64133,6.31199,6.27896,0.461195,,srv_53.txt
0.513962,16.4163,8.26497,10.989,2.27706,2.99563,3.12515,0.38949,,srv_54.txt
0.443645,22.7763,11.3455,15.6324,2.77932,4.21701,4.4821,0.566945,,srv_55.txt
0.596521,13.1988,6.47573,4.237,1.28995,4.08771,4.49922,0.26548,,srv_56.txt
0.595576,12.6251,6.47528,4.97974,1.90532,4.19086,4.69913,0.36752,,srv_57.txt
0.64505,9.6805,4.43865,2.59682,0.03441,2.60026,3.25685,0.00269,,srv_58.txt
0.609013,11.2106,5.20298,3.26628,0.031765,3.00709,3.52659,0.003675,,srv_59.txt
0.461973,25.0763,12.1737,18.7048,2.00644,3.94903,12.8758,1.72153,,srv_6.txt
0.405817,26.3265,13.3796,25.6262,2.27438,4.12148,12.9027,2.5302,,srv_60.txt
0.416392,26.0549,12.5888,23.8692,2.2627,4.11016,12.7129,2.28942,,srv_61.txt
0.4517,25.6464,12.2162,19.0039,2.04962,3.87377,12.8378,1.70286,,srv_62.txt
0.448051,25.7225,12.2139,19.5447,2.11638,3.90289,13.0505,1.77799,,srv_63.txt
0.461828,25.6384,12.2797,18.9588,1.97581,4.0038,13.0267,1.60013,,srv_64.txt
0.463937,25.5222,12.2013,18.748,1.96271,4.01355,11.742,1.57146,,srv_65.txt
0.459647,25.1923,12.1589,18.8354,2.0954,3.96881,12.8454,1.7137,,srv_66.txt
0.464102,25.1088,12.0551,18.1814,2.00005,3.96569,12.8955,1.63365,,srv_67.txt
0.451493,23.8504,11.6951,20.0674,2.19946,3.67856,11.9459,1.89093,,srv_68.txt
0.416701,25.2938,12.2336,22.624,2.51772,4.07732,12.3092,2.26565,,srv_69.txt
0.434176,25.4658,12.3778,21.5529,2.29078,4.09023,11.8298,2.12829,,srv_7.txt
0.332651,48.5513,19.2714,8.68632,0.33708,9.27945,8.97366,0.04918,,srv_70.txt
0.306567,57.4395,28.1878,5.54659,0.164245,11.3581,10.2909,0.14556,,srv_71.txt
0.300609,60.6236,21.9047,3.81643,0.01991,12.0737,9.85395,0.006115,,srv_72.txt
0.302824,56.0951,26.8817,8.79387,1.07925,11.0678,10.6446,0.3205,,srv_73.txt
0.310227,53.3605,19.6853,8.76595,0.160895,10.2471,9.22625,0.04648,,srv_74.txt
0.533559,45.2671,33.9338,38.2009,32.9254,7.68371,7.61967,0.37604,,srv_75.txt
0.528581,45.2552,33.9936,38.3146,33.3209,7.65623,7.64275,0.39156,,srv_76.txt
0.598859,11.0312,8.35183,11.0599,4.93911,2.29306,6.78161,0.75791,,srv_8.txt
0.376115,3.46254,66.9839,9.79692,7.83336,0.70056,42.5471,0.489855,,srv_9.txt
