IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.461772,16.1698,25.6464,12.2161,3.87377,12.8378,1.70287,1.60998,srv_62.txt
0.606851,4.36775,12.6251,6.47534,4.19086,4.70108,0.36752,1.21576,srv_57.txt
0.551615,34.6805,45.4011,33.7492,7.6713,7.49129,0.374265,30.7699,server_021.txt
0.335531,18.4327,42.2919,22.5939,8.25389,9.11571,0.59393,0.665865,srv_42.txt
0.305641,7.69277,55.7347,28.5687,10.9349,10.3573,0.27721,0.572435,srv_18.txt
0.575994,7.16599,5.97973,10.2464,1.19741,5.69118,0.079485,2.98829,client_001.txt
0.551642,34.9932,45.646,33.815,7.71359,7.61906,0.3651,30.9265,server_022.txt
0.55619,34.6581,45.5251,33.7582,7.70153,7.58521,0.3904,31.3774,srv_39.txt
0.302277,6.37967,57.5072,23.8467,11.3207,10.7225,0.27487,0.90254,server_031.txt
0.742181,3.25828,3.0373,2.3348,0.51147,8.89898,0.42842,1.71124,srv_27.txt
0.311167,8.46222,53.0825,19.8093,10.1684,9.20875,0.041375,0.111225,srv_20.txt
0.435254,19.79,25.2172,12.6412,3.97169,12.5729,2.31822,1.20405,srv_10.txt
0.303614,6.33577,57.5038,24.6469,11.3171,10.789,0.277285,0.53717,srv_25.txt
0.264689,16.4317,61.6363,27.8474,12.8551,11.4537,0.506145,2.40816,srv_44.txt
0.309065,6.31791,55.4185,27.8346,10.946,10.4109,0.38208,0.80774,server_028.txt
0.503096,3.22133,77.1925,8.45481,12.4636,9.98142,0.114035,0.512825,server_038.txt
0.616223,9.9224,11.0312,8.35183,2.29307,6.77984,0.757915,4.06518,srv_8.txt
0.508501,3.63322,77.0508,8.37006,12.4323,10.0752,0.112175,0.124615,srv_32.txt
0.304154,7.9543,56.0951,26.8826,11.0678,10.6443,0.32051,0.829075,srv_73.txt
0.332458,8.84575,48.5513,19.2709,9.27945,8.97352,0.04918,0.14058,srv_22.txt
0.630983,9.18599,9.71385,8.03618,2.0866,5.87575,0.58848,4.71492,server_001.txt
0.337498,8.37978,47.3417,18.9918,9.04199,8.88284,0.05442,0.73079,server_023.txt
0.45802,16.79,25.7225,12.214,3.90289,13.0513,1.77805,1.6394,srv_63.txt
0.333023,8.33596,48.5513,19.2714,9.27945,8.97352,0.04918,0.1583,srv_70.txt
,,,,,,,,client_005.txt
0.471448,16.0079,25.6384,12.2798,4.0038,13.0277,1.60013,1.62978,srv_64.txt
0.461388,17.4226,23.8504,11.6952,3.67856,11.9455,1.89093,1.64328,srv_68.txt
0.307352,5.54155,57.0441,27.8395,11.2692,10.141,0.14673,0.014115,srv_23.txt
0.50444,3.34822,76.6375,8.38664,12.3813,10.0273,0.11398,0.510245,server_037.txt
0.310064,8.64911,53.3605,19.6854,10.2471,9.22635,0.04648,0.047935,srv_74.txt
0.312231,5.80516,57.2194,27.4172,11.2719,10.1943,0.14378,0.014535,srv_15.txt
0.455757,14.3016,22.7764,11.3454,4.21701,4.48213,0.566945,2.09923,srv_55.txt
0.547823,34.7635,45.5273,33.7988,7.69157,7.65452,0.39089,31.4948,srv_35.txt
0.666911,0.39071,14.7161,0.34862,4.94399,4.59444,0.006965,0.258715,server_002.txt
0.556955,34.74,45.2671,33.9375,7.68371,7.61776,0.37603,31.9391,srv_75.txt
0.55576,34.7664,45.5907,33.8078,7.71449,7.58146,0.36785,31.4555,srv_33.txt
0.500171,35.2752,42.2898,32.9995,7.08017,8.03243,0.73489,30.072,server_018.txt
0.304409,6.71145,56.6031,28.2523,11.1386,10.1357,0.145005,0.11798,server_030.txt
0.561432,10.5523,12.2391,13.4565,2.47523,6.23433,0.454525,5.72511,client_006.txt
0.522109,0.012705,77.1558,0.97421,10.7736,5.9109,0.00135,0.012345,server_039.txt
0.443544,14.4655,23.6949,11.7871,4.43053,4.91513,0.50559,2.06667,srv_41.txt
0.345523,14.2041,17.2319,60.6664,2.75163,43.4551,1.62956,1.04793,srv_1.txt
0.337207,17.4883,42.1922,22.4416,8.228,9.05767,0.591815,0.609465,srv_43.txt
0.313133,7.16058,52.8824,19.5855,10.1247,9.12949,0.04091,0.435035,server_027.txt
0.410851,19.1228,23.6858,22.7596,3.7471,19.3372,2.2144,1.25422,server_010.txt
0.435016,19.7648,25.2905,12.4485,4.0271,12.5085,2.28047,1.29777,server_012.txt
0.312448,8.17824,52.6387,20.4316,10.0561,9.18224,0.03959,0.32017,server_026.txt
0.311588,8.37806,53.0722,19.7605,10.1705,9.11519,0.044655,0.10186,srv_21.txt
,,,,,,,,client_004.txt
0.335747,8.25146,48.2042,19.0695,9.19062,8.96802,0.046755,0.269015,srv_13.txt
0.547197,34.7677,45.3811,33.8376,7.6628,7.66898,0.40758,31.7612,srv_37.txt
0.305439,22.8362,42.4988,20.3922,8.20544,8.44596,0.728235,1.89021,srv_52.txt
0.458605,16.4311,25.7414,12.2564,3.89372,12.9735,1.6707,1.78977,srv_2.txt
0.556978,34.6288,45.0051,33.898,7.62068,7.45126,0.369855,31.7915,srv_38.txt
0.299474,3.90838,61.1451,22.0755,12.1539,9.95286,0.006025,0.012005,srv_24.txt
0.381496,6.02721,36.8761,14.7252,7.05104,6.85434,0.038835,0.51557,server_016.txt
