IPC,L1I TOTAL_MPKI,L1D TOTAL_MPKI,L2C TOTAL_MPKI,LLC TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,File
0.350918,19.8355,81.4149,19.0704,2.13265,3.28187,30.3437,2.03561,server_004.txt
0.36361,19.2066,22.025,19.2378,3.56414,3.12486,9.32574,1.65436,server_003.txt
0.300108,60.6554,22.2339,3.46997,0.00399,12.0808,9.8295,0.007465,srv_17.txt
0.442572,25.6464,24.0509,23.0091,1.90972,3.87377,12.8367,1.73126,srv_62.txt
0.596027,12.6251,11.5631,5.26437,1.27756,4.18903,4.69758,0.36819,srv_57.txt
0.252358,0.000145,24.0187,17.8295,17.8237,0.33067,0.33067,0.30536,hashed_perceptron-no-ucb-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---602.gcc_s-1850B.txt
0.507806,45.4011,41.5807,36.1035,31.4133,7.6713,7.49381,0.378825,server_021.txt
0.319382,42.2919,38.6648,28.8021,0.921415,8.25389,9.10931,0.59902,srv_42.txt
0.307636,55.7347,28.6335,6.59545,0.248965,10.9349,10.3574,0.27721,srv_18.txt
0.546507,5.97978,10.2461,5.30012,2.511,1.19741,5.69098,0.079485,client_001.txt
0.500073,45.646,41.0108,36.2676,30.8793,7.71359,7.6152,0.368285,server_022.txt
0.525289,45.5251,42.714,36.5344,32.0605,7.70153,7.58577,0.394465,srv_39.txt
0.300166,57.5073,36.7828,8.79551,0.879865,11.3207,10.7225,0.27956,server_031.txt
0.731219,3.0373,3.42599,3.17898,1.73177,0.51147,8.89925,0.431855,srv_27.txt
0.304484,53.0825,32.9757,13.0073,0.14048,10.1684,9.20909,0.0437,srv_20.txt
0.422412,25.2172,20.6842,24.1766,1.34312,3.97169,12.5735,2.32409,srv_10.txt
0.300082,57.5038,37.5119,9.36758,0.562975,11.3171,10.7891,0.28726,srv_25.txt
0.248139,61.6364,55.0205,30.4921,3.33982,12.8551,11.4562,0.543145,srv_44.txt
0.304036,55.4185,42.1486,9.79714,0.823015,10.946,10.411,0.38944,server_028.txt
0.496131,77.1925,18.4841,5.05595,0.589405,12.4636,9.98077,0.11582,server_038.txt
0.582138,11.0312,8.35265,9.3213,3.86749,2.29307,6.8455,0.758,srv_8.txt
0.501105,77.0508,20.9814,5.86699,0.26483,12.4323,10.0726,0.113875,srv_32.txt
0.30038,56.0951,39.1035,11.2861,0.854375,11.0678,10.644,0.32759,srv_73.txt
0.324294,48.5513,34.6623,13.8282,0.21946,9.27945,8.9735,0.054765,srv_22.txt
0.597379,9.71388,9.94139,9.61623,4.82958,2.0866,5.89888,0.588925,server_001.txt
0.338314,47.3418,19.0826,7.0796,0.66293,9.04198,8.8828,0.05442,server_023.txt
0.435455,25.7225,23.9259,23.0704,1.99446,3.90289,13.0509,1.8266,srv_63.txt
,,,,,,,,output.csv
0.32936,48.5513,31.7802,11.0981,0.177715,9.27945,8.97375,0.04999,srv_70.txt
,,,,,,,,client_005.txt
0.461119,25.6384,20.6159,20.4229,1.70857,4.0038,13.0265,1.60706,srv_64.txt
0.445964,23.8504,19.0936,20.9788,1.82018,3.67857,11.949,1.89491,srv_68.txt
0.307935,57.0441,28.1253,5.07519,0.007955,11.2692,10.1411,0.14673,srv_23.txt
0.49909,76.6375,18.924,5.03211,0.54393,12.3813,10.0309,0.115055,server_037.txt
0.301066,53.3605,37.1703,14.9455,0.175315,10.2471,9.22624,0.05592,srv_74.txt
0.308809,57.2194,39.5504,9.02867,0.020585,11.2719,10.1943,0.140695,srv_15.txt
0.432019,22.7764,21.2889,19.1828,2.90985,4.21701,4.48231,0.677645,srv_55.txt
0.517509,45.5273,42.9608,36.5755,32.1077,7.69157,7.65578,0.393645,srv_35.txt
0.665856,14.7161,0.409485,0.414365,0.292785,4.94399,4.59449,0.006905,server_002.txt
0.528452,45.2671,44.1088,37.4417,32.0167,7.68372,7.61657,0.38227,srv_75.txt
0.506361,45.5907,40.9981,36.1554,32.4136,7.71449,7.57732,0.36953,srv_33.txt
0.460075,42.2898,43.7057,37.8362,28.5527,7.08017,8.03708,0.75694,server_018.txt
0.301,56.6031,42.4629,10.7553,0.138405,11.1386,10.1357,0.14207,server_030.txt
0.527963,12.2391,22.2653,10.3086,5.78762,2.47523,6.23328,0.45911,client_006.txt
0.52045,77.1558,8.28815,0.01479,0.014115,10.7736,5.9109,0.00135,server_039.txt
0.425131,23.695,21.9074,18.9417,2.64697,4.43053,4.91648,0.52386,srv_41.txt
0.340873,17.2319,125.186,16.9489,1.29609,2.75163,43.517,1.63307,srv_1.txt
0.315703,42.1922,42.4779,31.1195,1.16555,8.228,9.05996,0.63187,srv_43.txt
0.313653,52.8824,19.6751,6.21698,0.39837,10.1247,9.12961,0.04091,server_027.txt
0.398924,23.6858,38.009,23.7265,1.45024,3.7471,19.3411,2.23118,server_010.txt
0.43535,42.5071,33.6966,33.0334,34.0373,7.14782,7.98994,0.84565,hashed_perceptron-no-ucb-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---server_019.txt
0.422849,25.2905,20.356,23.6896,1.42548,4.0271,12.5093,2.28824,server_012.txt
0.306245,52.6387,33.5747,12.3427,0.35776,10.0561,9.18239,0.044895,server_026.txt
0.307073,53.0722,33.333,12.1596,0.12513,10.1705,9.11535,0.0443,srv_21.txt
,,,,,,,,client_004.txt
0.331732,48.2042,29.2589,10.7045,0.265045,9.19062,8.96821,0.047575,srv_13.txt
0.495965,45.3811,42.73,36.9065,32.7734,7.66282,7.66439,0.41014,srv_37.txt
0.293165,42.4989,36.2332,30.7774,2.6515,8.20544,8.44789,0.730445,srv_52.txt
0.437566,25.7414,24.5853,23.5373,2.07307,3.89372,12.9709,1.76019,srv_2.txt
0.502692,45.0052,43.3214,36.9434,31.3061,7.6207,7.45219,0.377525,srv_38.txt
0.299978,61.1451,22.1683,2.84313,0.00423,12.1539,9.95289,0.006025,srv_24.txt
0.375173,36.8761,24.1241,8.92385,0.53302,7.05104,6.85419,0.04106,server_016.txt
