DTLB TOTAL_MPKI,L1D Accuracy,L1I TOTAL_MPKI,IPC,ITLB TOTAL_MPKI,File,LLC TOTAL_MPKI,L2C Accuracy,L2C TOTAL_MPKI,LLC Accuracy,STLB TOTAL_MPKI,L1D TOTAL_MPKI
8.84249,7.77036,49.7613,0.323731,9.55165,server_025.txt,0.35703,2.64826,6.45443,0,0.044275,18.9193
9.04166,27.5188,3.28732,0.714839,0.547285,srv_29.txt,1.46744,11.3208,2.67952,0,0.436985,2.68709
2.19494,3.38802,9.62862,0.613306,1.65075,client_003.txt,3.69613,12.7057,6.07381,40.4545,0.072195,6.83508
23.5468,0,22.4361,0.394108,3.56161,server_009.txt,1.22099,0,16.8086,0,2.05138,28.9893
13.0662,70.457,25.7573,0.4623,4.03885,srv_5.txt,1.45669,11.2804,15.222,5.55556,1.59641,12.3035
8.9489,-,48.0783,0.335055,9.13976,server_024.txt,0.626725,-,7.7794,,0.056965,19.044
3.52663,31.6334,11.2106,0.611907,3.00709,srv_59.txt,0.002445,21.6483,2.59,0,0.003675,5.44107
9.03203,15.5731,3.21889,0.718904,0.53748,srv_30.txt,1.32977,1.99063,2.52522,0,0.432065,2.53405
9.80477,0,60.6055,0.301458,12.071,server_032.txt,0.020515,33.3333,2.96691,0,0.00592,21.8351
4.49924,36.1295,13.1988,0.603852,4.08771,srv_56.txt,0.425585,9.64852,3.24349,0.813008,0.265515,6.53864
3.7187,19.0476,29.9477,0.649917,8.43077,server_015.txt,0.00047,0,0.00136,0,2.5,0.002765
30.3086,1.36095,19.8355,0.351683,3.28187,server_004.txt,1.6905,1.61152,15.1845,3.77358,2.02684,40.8263
9.3255,41.7551,19.2066,0.368101,3.12486,server_003.txt,2.8071,14.8462,15.4402,25.1366,1.64719,13.8038
9.82949,0,60.6553,0.300505,12.0808,srv_17.txt,0.00394,0,3.36214,0,0.007465,21.9224
12.8378,23.32,25.6464,0.456407,3.87377,srv_62.txt,1.47315,17.9739,15.1814,0,1.70284,12.2395
4.70054,8.87845,12.6251,0.601162,4.19086,srv_57.txt,0.81293,1.66412,3.942,0,0.366075,7.0322
