IPC,L1I TOTAL_MPKI,L1D TOTAL_MPKI,L2C TOTAL_MPKI,LLC TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,File
0.296668,60.6554,38.7669,7.10175,0.006195,12.0808,9.82949,0.00769,srv_17.txt
0.444327,25.6464,21.2115,22.2087,2.02951,3.87377,12.8369,1.70795,srv_62.txt
0.594237,12.6251,11.8514,5.63159,1.41338,4.18923,4.69926,0.368045,srv_57.txt
0.507557,45.4011,41.5181,36.2684,31.8779,7.6713,7.49148,0.378445,server_021.txt
0.322236,42.2919,36.6602,27.7269,1.15335,8.25389,9.11271,0.599445,srv_42.txt
0.301896,55.7347,42.4906,11.8852,0.76924,10.9349,10.3572,0.296195,srv_18.txt
0.558356,5.97975,20.1438,6.76833,3.1404,1.19741,5.69262,0.079135,client_001.txt
0.507074,45.646,44.2704,37.2465,32.1223,7.71359,7.6185,0.369155,server_022.txt
0.512031,45.5251,44.2119,36.9588,32.8881,7.70153,7.58362,0.393385,srv_39.txt
0.29905,57.5073,36.9319,9.31473,0.968455,11.3207,10.7224,0.28218,server_031.txt
0.73054,3.0373,3.58679,3.24467,1.80901,0.51147,8.89929,0.43144,srv_27.txt
0.304898,53.0825,32.1804,14.1031,0.295495,10.1684,9.20916,0.043225,srv_20.txt
0.421736,25.2172,21.4714,25.5743,1.75301,3.97169,12.5726,2.32634,srv_10.txt
0.299265,57.5038,38.052,9.78314,0.756155,11.3171,10.7891,0.291055,srv_25.txt
0.255439,61.6363,49.1428,24.6491,2.93865,12.8551,11.4551,0.51195,srv_44.txt
0.305254,55.4185,41.2254,10.0361,0.855965,10.946,10.4108,0.39493,server_028.txt
0.49637,77.1925,19.9428,5.52151,0.60112,12.4636,9.98284,0.11544,server_038.txt
0.59523,11.0312,10.9633,10.8818,4.45373,2.29306,6.80432,0.75991,srv_8.txt
0.502752,77.0508,19.054,5.4463,0.28501,12.4323,10.0782,0.112785,srv_32.txt
0.299414,56.0951,40.393,12.939,1.04061,11.0678,10.6441,0.328865,srv_73.txt
0.327344,48.5513,31.1154,13.8528,0.34262,9.27945,8.97344,0.051355,srv_22.txt
0.607354,9.71386,10.169,9.87847,5.11983,2.0866,5.88266,0.5893,server_001.txt
0.331658,47.3418,30.5504,13.4601,0.834105,9.04199,8.88289,0.05745,server_023.txt
0.442194,25.7226,20.8103,21.4911,1.9729,3.90289,13.0498,1.78418,srv_63.txt
0.32796,48.5513,31.1392,13.248,0.355455,9.27944,8.97353,0.05119,srv_70.txt
,,,,,,,,client_005.txt
0.454552,25.6384,21.427,22.3249,1.96476,4.0038,13.0252,1.61357,srv_64.txt
,,,,,,,,srv_68.txt
0.3046,57.0441,40.502,9.30204,0.06799,11.2692,10.1416,0.14393,srv_23.txt
0.498,76.6375,19.6084,5.58723,0.59639,12.3813,10.0291,0.11548,server_037.txt
0.305611,53.3605,31.8056,12.7608,0.152965,10.2471,9.22657,0.04826,srv_74.txt
0.308091,57.2194,40.7015,10.4875,0.08128,11.2719,10.1944,0.14167,srv_15.txt
0.440908,22.7763,17.9244,16.8674,2.64281,4.21701,4.48233,0.574295,srv_55.txt
0.503343,45.5273,43.5674,36.8743,32.7336,7.69157,7.65353,0.393455,srv_35.txt
0.665644,14.7161,1.29935,0.420975,0.29436,4.94399,4.59466,0.007115,server_002.txt
0.509785,45.2671,43.7978,37.0256,32.8833,7.68372,7.61748,0.379385,srv_75.txt
0.511918,45.5907,44.411,37.1544,33.3561,7.71449,7.5805,0.370185,srv_33.txt
0.447898,42.2898,41.4139,36.5128,24.8754,7.08017,8.03161,0.745235,server_018.txt
0.301649,56.6031,40.9422,10.8007,0.220135,11.1386,10.1355,0.14201,server_030.txt
0.5397,12.2391,21.2984,10.2301,5.87932,2.47523,6.23486,0.45899,client_006.txt
0.519209,77.1558,10.606,0.01661,0.01409,10.7736,5.9107,0.00135,server_039.txt
0.431113,23.6951,18.7574,16.8999,2.3866,4.43053,4.91583,0.515015,srv_41.txt
0.339897,17.2319,94.701,17.1139,1.56971,2.75163,43.4608,1.63667,srv_1.txt
0.32412,42.1922,37.1986,26.6196,1.18917,8.228,9.05398,0.595765,srv_43.txt
0.307828,52.8824,31.9767,12.2289,0.54103,10.1247,9.12968,0.044405,server_027.txt
0.399995,23.6858,37.8658,23.7608,1.80361,3.7471,19.3411,2.22467,server_010.txt
0.422572,25.2905,21.1988,25.1756,1.8375,4.0271,12.5072,2.29218,server_012.txt
0.30702,52.6387,33.0219,13.2642,0.49221,10.0561,9.18234,0.042735,server_026.txt
0.308064,53.0722,31.4247,11.7043,0.20446,10.1705,9.11576,0.04577,srv_21.txt
,,,,,,,,client_004.txt
0.329894,48.2042,30.6073,12.8878,0.48573,9.19062,8.96821,0.04779,srv_13.txt
0.502366,45.3811,41.4488,36.4458,33.0293,7.66281,7.66693,0.40863,srv_37.txt
0.294988,42.4988,34.2094,29.3532,2.43541,8.20544,8.44754,0.73141,srv_52.txt
0.443922,25.7414,21.1468,21.9902,2.12004,3.89372,12.9712,1.68477,srv_2.txt
0.509865,45.0052,41.446,36.2196,32.5843,7.6207,7.44975,0.372015,srv_38.txt
0.297943,61.1451,35.6511,5.45961,0.00537,12.1539,9.95283,0.006025,srv_24.txt
0.374668,36.8761,23.8765,10.4439,0.60973,7.05104,6.85419,0.040795,server_016.txt
