IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.45508,15.2421,25.6464,12.2161,3.87377,12.8372,1.70285,2.02657,srv_62.txt
0.60112,3.75466,12.6251,6.47529,4.19086,4.70016,0.3675,1.1377,srv_57.txt
0.516216,32.8893,45.4011,33.7459,7.6713,7.49608,0.374285,33.9365,server_021.txt
0.332997,16.6545,42.2919,22.5933,8.25389,9.11634,0.593955,1.07737,srv_42.txt
0.305981,6.62399,55.7347,28.5688,10.9349,10.3574,0.27721,0.83828,srv_18.txt
0.556325,5.30359,5.97973,10.2463,1.19741,5.69109,0.079485,2.99033,client_001.txt
0.516926,33.2091,45.646,33.8117,7.71359,7.62193,0.3651,34.0057,server_022.txt
0.522039,32.9945,45.525,33.7545,7.70153,7.58749,0.39039,34.895,srv_39.txt
0.302498,5.23866,57.5072,23.8456,11.3207,10.7225,0.27487,1.05271,server_031.txt
0.72747,2.37035,3.0373,2.33452,0.51147,8.8993,0.42842,1.60026,srv_27.txt
0.311717,7.54092,53.0825,19.8092,10.1684,9.20878,0.041375,0.27812,srv_20.txt
0.429284,19.1034,25.2172,12.641,3.97169,12.5735,2.31822,1.60875,srv_10.txt
0.303782,5.20215,57.5038,24.6455,11.3171,10.7892,0.277285,0.679555,srv_25.txt
0.260489,14.5716,61.6363,27.8474,12.8551,11.4529,0.506145,3.14487,srv_44.txt
0.309425,5.04605,55.4185,27.8345,10.946,10.4109,0.382085,0.99568,server_028.txt
0.500267,2.7449,77.1925,8.45256,12.4636,9.98129,0.114035,0.52474,server_038.txt
0.591945,9.43015,11.0312,8.35189,2.29306,6.7798,0.75791,5.17842,srv_8.txt
0.504621,3.21886,77.0508,8.36737,12.4323,10.0751,0.112175,0.36176,srv_32.txt
0.304371,6.8154,56.0951,26.8822,11.0678,10.6444,0.3205,1.04205,srv_73.txt
0.333301,7.68668,48.5513,19.2709,9.27944,8.97336,0.04918,0.292855,srv_22.txt
0.60008,8.63517,9.71385,8.03623,2.0866,5.87687,0.58848,5.93811,server_001.txt
