IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.733167,3.4398,3.21889,4.57275,0.53748,9.03115,0.43169,2.17681,srv_30.txt
0.732346,3.48464,3.19185,2.67881,0.53352,9.04446,0.43218,2.32635,srv_31.txt
0.510949,3.34183,77.0508,9.76339,12.4323,10.0787,0.11217,0.10919,srv_32.txt
0.551983,33.4823,45.5907,36.46,7.71449,7.58005,0.367785,31.6842,srv_33.txt
0.550664,33.3298,45.6485,36.3897,7.71077,7.54497,0.381345,31.614,srv_34.txt
0.5445,33.5764,45.5273,37.1375,7.69157,7.65257,0.390785,31.4253,srv_35.txt
0.549891,33.4436,45.295,36.2833,7.67502,7.56914,0.39973,31.6525,srv_36.txt
0.542996,33.6196,45.3811,37.0382,7.6628,7.66723,0.40766,31.6836,srv_37.txt
0.553024,33.4318,45.0051,36.6582,7.62068,7.451,0.36996,31.6362,srv_38.txt
0.552883,33.4668,45.525,36.2846,7.70153,7.58475,0.39054,31.229,srv_39.txt
0.477518,16.3249,25.4865,14.3477,3.97637,12.9483,1.58728,1.71446,srv_4.txt
0.685703,9.50176,6.34211,12.6755,1.32745,1.57161,0.23883,8.04368,srv_40.txt
0.448137,14.3701,23.6949,14.2161,4.43053,4.91574,0.51018,2.19439,srv_41.txt
0.343078,18.4578,42.2919,25.7389,8.25389,9.11316,0.591675,0.67457,srv_42.txt
0.34446,17.3783,42.1922,25.8614,8.228,9.05576,0.589545,0.62713,srv_43.txt
0.270566,15.6852,61.6363,31.1958,12.8551,11.4598,0.505825,2.43039,srv_44.txt
0.261696,14.943,65.7686,32.0538,13.7391,12.2962,0.540685,1.71675,srv_45.txt
0.443442,11.5095,24.9518,15.1978,6.58416,6.18882,0.260085,2.55115,srv_46.txt
0.43913,11.274,25.6586,15.1642,6.7525,6.30647,0.286285,2.38482,srv_47.txt
0.453802,13.4114,21.4025,14.0598,5.24485,5.17754,0.39163,3.62184,srv_48.txt
0.458044,12.2891,21.3974,13.2746,5.20544,5.28212,0.439395,3.11804,srv_49.txt
0.474881,16.3757,25.7573,14.3261,4.03885,13.0703,1.59576,1.65261,srv_5.txt
0.417605,16.2455,25.5391,15.2737,4.79754,5.02348,0.429265,2.79285,srv_50.txt
0.432122,14.6069,23.7205,13.9862,4.45493,5.2368,0.42021,2.47702,srv_51.txt
0.310566,22.3971,42.4988,23.7992,8.20544,8.4459,0.72776,1.95154,srv_52.txt
0.358264,16.1607,32.1157,16.7774,6.31199,6.2789,0.460665,1.01303,srv_53.txt
0.530263,10.0156,16.4163,9.7921,2.99563,3.12502,0.391035,1.74266,srv_54.txt
0.45945,14.3494,22.7763,13.6495,4.21701,4.48226,0.56674,2.25842,srv_55.txt
0.609133,3.73116,13.1988,7.92793,4.08771,4.50045,0.264265,0.6811,srv_56.txt
0.610763,4.35303,12.6251,8.04741,4.19086,4.70253,0.36614,1.24517,srv_57.txt
0.649743,2.46294,9.6805,5.75068,2.60026,3.25812,0.00265,0.00184,srv_58.txt
0.61456,2.93,11.2106,6.75954,3.00709,3.52897,0.00364,0.00229,srv_59.txt
0.476396,16.2029,25.0763,14.2732,3.94903,12.875,1.72076,1.67857,srv_6.txt
0.423616,21.7617,26.3265,15.5129,4.12148,12.9024,2.52884,1.36626,srv_60.txt
0.432778,20.3592,26.0549,14.6484,4.11016,12.7119,2.28873,1.38176,srv_61.txt
0.467825,16.3247,25.6464,14.1861,3.87377,12.8364,1.70106,1.62739,srv_62.txt
0.463567,16.9476,25.7226,14.472,3.90289,13.0517,1.77777,1.65688,srv_63.txt
0.47765,16.1982,25.6384,14.2145,4.0038,13.0284,1.59879,1.64078,srv_64.txt
0.479318,16.2133,25.5222,14.2017,4.01355,11.7435,1.57066,1.61139,srv_65.txt
0.474925,16.3808,25.1923,14.4552,3.96881,12.8468,1.7131,1.71063,srv_66.txt
0.478373,15.8087,25.1088,14.0506,3.96569,12.8969,1.63303,1.7045,srv_67.txt
0.466974,17.5022,23.8504,13.7753,3.67856,11.945,1.88949,1.67121,srv_68.txt
0.433225,19.6671,25.2938,14.3921,4.07732,12.3084,2.26432,1.73782,srv_69.txt
0.450028,18.7348,25.4658,14.5897,4.09023,11.8293,2.12704,1.76074,srv_7.txt
0.337593,8.1647,48.5513,22.0223,9.27945,8.97313,0.04922,0.1934,srv_70.txt
0.311987,5.31693,57.4395,30.404,11.3581,10.2912,0.145585,0.030995,srv_71.txt
0.305143,4.08084,60.6236,23.7637,12.0737,9.85478,0.00603,0.00985,srv_72.txt
0.309337,7.99625,56.0951,29.5515,11.0678,10.6445,0.324195,0.821835,srv_73.txt
0.314664,8.41554,53.3605,22.5445,10.2471,9.22815,0.04661,0.05639,srv_74.txt
0.553505,33.6042,45.2671,36.4767,7.68371,7.61778,0.376155,31.8615,srv_75.txt
0.545486,33.6165,45.2552,36.3611,7.65623,7.64081,0.39144,31.8805,srv_76.txt
0.620057,9.77907,11.0312,9.05005,2.29307,6.77968,0.75749,4.1066,srv_8.txt
0.393083,8.67956,3.46254,68.2847,0.70056,42.5468,0.48982,7.06414,srv_9.txt
