IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.720431,2.65582,3.21889,2.60222,0.53748,9.03214,0.43286,1.4205,srv_30.txt
0.721239,2.55166,3.19185,2.49504,0.53352,9.04467,0.43321,1.33223,srv_31.txt
0.506662,3.20208,77.0508,8.37186,12.4323,10.0751,0.112175,0.080895,srv_32.txt
0.54131,33.8901,45.5907,34.2709,7.71449,7.5808,0.37036,31.8953,srv_33.txt
0.539963,33.7197,45.6485,34.1887,7.71077,7.54763,0.382895,31.9714,srv_34.txt
0.53392,33.8625,45.5273,34.2485,7.69155,7.65451,0.39474,31.7965,srv_35.txt
0.539578,33.9013,45.295,34.4054,7.67502,7.56793,0.40186,32.0455,srv_36.txt
0.532118,33.9512,45.3811,34.2968,7.6628,7.66777,0.409535,32.0779,srv_37.txt
0.541655,33.7863,45.0051,34.3409,7.62068,7.45201,0.372395,32.0265,srv_38.txt
0.542975,33.8488,45.525,34.2283,7.70153,7.58483,0.3952,31.6348,srv_39.txt
0.464736,15.3847,25.4865,12.3289,3.97637,12.9498,1.58879,1.5375,srv_4.txt
0.676031,9.34345,6.34211,11.8917,1.32745,1.57264,0.238995,7.93611,srv_40.txt
0.436675,12.8647,23.6948,11.8157,4.43053,4.9152,0.507155,1.6347,srv_41.txt
0.335106,16.9854,42.2919,22.6033,8.25389,9.1168,0.594055,0.42472,srv_42.txt
0.337582,15.5802,42.1922,22.4515,8.228,9.0589,0.59211,0.391515,srv_43.txt
0.261839,14.8318,61.6363,27.9269,12.8551,11.4533,0.506045,2.15353,srv_44.txt
0.254056,13.9175,65.7686,28.6283,13.7391,12.2881,0.54036,1.42599,srv_45.txt
0.431594,11.16,24.9519,13.1443,6.58416,6.18574,0.2619,2.43396,srv_46.txt
0.426917,10.8961,25.6586,13.1896,6.7525,6.30248,0.28837,2.25866,srv_47.txt
