IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.456421,15.1689,25.6464,12.2162,3.87377,12.8378,1.70284,1.47272,srv_62.txt
0.602574,3.75563,12.6251,6.47528,4.19086,4.69922,0.367485,0.80665,srv_57.txt
0.499203,32.7168,45.4011,33.7455,7.6713,7.49197,0.374265,30.2843,server_021.txt
0.335378,16.8032,42.2919,22.5933,8.25389,9.1169,0.593925,0.4155,srv_42.txt
0.307943,6.56856,55.7347,28.5688,10.9349,10.3574,0.27721,0.24754,srv_18.txt
0.546737,5.29873,5.97978,10.2461,1.19741,5.69094,0.079485,2.51119,client_001.txt
0.501244,33.0451,45.646,33.8116,7.71359,7.61873,0.3651,30.9617,server_022.txt
0.505824,32.8175,45.525,33.7544,7.70153,7.585,0.39038,31.0338,srv_39.txt
0.302996,5.15071,57.5072,23.8454,11.3207,10.7226,0.27487,0.62831,server_031.txt
0.7216,2.35045,3.0373,2.33446,0.51147,8.89926,0.42842,1.18769,srv_27.txt
0.312239,7.47296,53.0825,19.8093,10.1684,9.20869,0.041375,0.065415,srv_20.txt
0.429364,19.0611,25.2172,12.6413,3.97169,12.5748,2.31822,1.17192,srv_10.txt
0.305484,5.15721,57.5038,24.6458,11.3171,10.7891,0.277285,0.21465,srv_25.txt
0.261754,14.5312,61.6363,27.8474,12.8551,11.4532,0.506145,2.1197,srv_44.txt
0.310201,4.9437,55.4185,27.8346,10.946,10.4109,0.38208,0.533425,server_028.txt
0.500069,2.73558,77.1925,8.4527,12.4636,9.98114,0.114035,0.384545,server_038.txt
0.583531,9.31878,11.0312,8.3515,2.29306,6.84595,0.75791,3.86867,srv_8.txt
0.506652,3.19085,77.0508,8.36758,12.4323,10.075,0.112175,0.079605,srv_32.txt
0.305783,6.74272,56.0951,26.882,11.0678,10.6445,0.3205,0.46435,srv_73.txt
0.333781,7.64987,48.5513,19.271,9.27944,8.97338,0.04918,0.07588,srv_22.txt
0.595765,8.53714,9.71386,8.03605,2.0866,5.89826,0.588475,4.41208,server_001.txt
0.338683,6.99471,47.3417,18.9918,9.04199,8.88284,0.05442,0.662355,server_023.txt
0.452004,15.6724,25.7226,12.214,3.90289,13.0499,1.778,1.48912,srv_63.txt
,,,,,,,,output.csv
0.334724,7.00603,48.5513,19.2714,9.27945,8.97355,0.04918,0.086365,srv_70.txt
,,,,,,,,client_005.txt
0.465155,15.1279,25.6384,12.2796,4.0038,13.025,1.60014,1.44238,srv_64.txt
0.453629,16.3441,23.8504,11.6952,3.67856,11.9482,1.89093,1.52063,srv_68.txt
0.308749,4.77799,57.0441,27.8395,11.2692,10.1411,0.14673,0.00792,srv_23.txt
0.501498,2.86421,76.6375,8.38504,12.3813,10.0273,0.11398,0.38388,server_037.txt
0.311486,7.61175,53.3605,19.6853,10.2471,9.22627,0.04648,0.024935,srv_74.txt
0.313738,4.93014,57.2194,27.4172,11.2719,10.1944,0.14378,0.00765,srv_15.txt
0.446112,12.8183,22.7762,11.3454,4.21701,4.48223,0.566945,1.69199,srv_55.txt
0.498246,32.8669,45.5273,33.799,7.69155,7.65502,0.39089,31.2208,srv_35.txt
0.665404,0.378275,14.7161,0.34861,4.94399,4.59447,0.006965,0.254755,server_002.txt
0.505078,32.9903,45.2671,33.9341,7.68371,7.61795,0.37604,31.6772,srv_75.txt
0.504887,32.8696,45.5907,33.8043,7.71449,7.58129,0.367855,31.5005,srv_33.txt
0.440664,32.5858,42.2897,32.9996,7.08015,8.03443,0.735,29.9545,server_018.txt
0.306187,5.76084,56.6031,28.2524,11.1386,10.1357,0.145005,0.08791,server_030.txt
0.520404,8.64219,12.2391,13.4558,2.47523,6.23241,0.454525,4.75052,client_006.txt
0.522108,0.012655,77.1558,0.97421,10.7736,5.9109,0.00135,0.01232,server_039.txt
0.436347,12.7096,23.6948,11.7865,4.43053,4.91515,0.50559,1.58123,srv_41.txt
0.342343,13.4873,17.2319,60.6664,2.75163,43.4562,1.62966,1.00207,srv_1.txt
0.338023,15.3638,42.1922,22.4412,8.228,9.05872,0.591815,0.373935,srv_43.txt
0.313929,6.16031,52.8824,19.5855,10.1247,9.1296,0.04091,0.39785,server_027.txt
0.406552,17.9188,23.6858,22.7596,3.7471,19.3408,2.21441,1.18673,server_010.txt
0.429573,18.6517,25.2905,12.4483,4.0271,12.5099,2.28047,1.23063,server_012.txt
0.313289,7.22721,52.6387,20.4317,10.0561,9.18226,0.03959,0.264345,server_026.txt
0.313027,7.17195,53.0722,19.7605,10.1705,9.11517,0.044655,0.054815,srv_21.txt
,,,,,,,,client_004.txt
0.337003,7.07723,48.2042,19.0693,9.19062,8.96795,0.046755,0.170345,srv_13.txt
0.49693,32.9425,45.3811,33.8339,7.6628,7.66855,0.40758,31.5046,srv_37.txt
0.302334,20.7218,42.4987,20.3921,8.20544,8.44599,0.728235,1.62128,srv_52.txt
0.452088,15.3955,25.7415,12.2563,3.89372,12.9708,1.6705,1.63125,srv_2.txt
0.505643,32.8135,45.0051,33.8947,7.62068,7.45193,0.369855,31.4023,srv_38.txt
0.300225,2.81736,61.1451,22.0754,12.1539,9.95289,0.006025,0.004105,srv_24.txt
0.382281,5.18018,36.8761,14.7252,7.05104,6.85429,0.038835,0.46124,server_016.txt
